"Description", "File", "M/A/C/B", "Flag"
"PROFILE.OS.FILE.RENAME", "dst", "M", "PROFILE_SAMEAS_W0_BEFORE"
"PROFILE.OS.FILE.RENAME", "dst", "M", "PROFILE_SAMEAS_W0_M_BEFORE"
"PROFILE.OS.FILE.RENAME", "dst", "M", "PROFILE_SAMEAS_W0_C_BEFORE"
"PROFILE.OS.FILE.RENAME", "dst", "A", "PROFILE_SAMEAS_W0_BEFORE"
"PROFILE.OS.FILE.RENAME", "dst", "A", "PROFILE_SAMEAS_W0_A_BEFORE"
"PROFILE.OS.FILE.RENAME", "dst", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.RENAME", "dst", "B", "PROFILE_SAMEAS_W0_BEFORE"
"PROFILE.OS.FILE.RENAME", "dst", "B", "PROFILE_SAMEAS_W0_B_BEFORE"
"PROFILE.OS.FILE.RENAME", "dir/", "M", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.RENAME", "dir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.RENAME", "dir/", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.RENAME", "dir/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.RENAME", "dst/", "M", "PROFILE_SAMEAS_W0_BEFORE"
"PROFILE.OS.DIR.RENAME", "dst/", "M", "PROFILE_SAMEAS_W0_M_BEFORE"
"PROFILE.OS.DIR.RENAME", "dst/", "M", "PROFILE_SAMEAS_W0_C_BEFORE"
"PROFILE.OS.DIR.RENAME", "dst/", "A", "PROFILE_SAMEAS_W0_BEFORE"
"PROFILE.OS.DIR.RENAME", "dst/", "A", "PROFILE_SAMEAS_W0_A_BEFORE"
"PROFILE.OS.DIR.RENAME", "dst/", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.DIR.RENAME", "dst/", "B", "PROFILE_SAMEAS_W0_BEFORE"
"PROFILE.OS.DIR.RENAME", "dst/", "B", "PROFILE_SAMEAS_W0_B_BEFORE"
"PROFILE.OS.DIR.RENAME", "dir/", "M", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.DIR.RENAME", "dir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.RENAME", "dir/", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.DIR.RENAME", "dir/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.MV_LOCAL", "srcdir/", "M", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.MV_LOCAL", "srcdir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.MV_LOCAL", "srcdir/", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.MV_LOCAL", "srcdir/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.MV_LOCAL", "dst", "M", "PROFILE_SAMEAS_W0_BEFORE"
"PROFILE.OS.FILE.MV_LOCAL", "dst", "M", "PROFILE_SAMEAS_W0_M_BEFORE"
"PROFILE.OS.FILE.MV_LOCAL", "dst", "M", "PROFILE_SAMEAS_W0_C_BEFORE"
"PROFILE.OS.FILE.MV_LOCAL", "dst", "A", "PROFILE_SAMEAS_W0_BEFORE"
"PROFILE.OS.FILE.MV_LOCAL", "dst", "A", "PROFILE_SAMEAS_W0_A_BEFORE"
"PROFILE.OS.FILE.MV_LOCAL", "dst", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.MV_LOCAL", "dst", "B", "PROFILE_SAMEAS_W0_BEFORE"
"PROFILE.OS.FILE.MV_LOCAL", "dst", "B", "PROFILE_SAMEAS_W0_B_BEFORE"
"PROFILE.OS.FILE.MV_LOCAL", "dstdir/", "M", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.MV_LOCAL", "dstdir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.MV_LOCAL", "dstdir/", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.MV_LOCAL", "dstdir/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.MV_LOCAL", "srcdir/", "M", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.DIR.MV_LOCAL", "srcdir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.MV_LOCAL", "srcdir/", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.DIR.MV_LOCAL", "srcdir/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.MV_LOCAL", "dst/", "M", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.DIR.MV_LOCAL", "dst/", "A", "PROFILE_SAMEAS_W0_BEFORE"
"PROFILE.OS.DIR.MV_LOCAL", "dst/", "A", "PROFILE_SAMEAS_W0_A_BEFORE"
"PROFILE.OS.DIR.MV_LOCAL", "dst/", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.DIR.MV_LOCAL", "dst/", "B", "PROFILE_SAMEAS_W0_BEFORE"
"PROFILE.OS.DIR.MV_LOCAL", "dst/", "B", "PROFILE_SAMEAS_W0_B_BEFORE"
"PROFILE.OS.DIR.MV_LOCAL", "dstdir/", "M", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.DIR.MV_LOCAL", "dstdir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.MV_LOCAL", "dstdir/", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.DIR.MV_LOCAL", "dstdir/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.MV_VOLUME", "srcdir/", "M", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.MV_VOLUME", "srcdir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.MV_VOLUME", "srcdir/", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.MV_VOLUME", "srcdir/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.MV_VOLUME", "dst", "M", "PROFILE_SAMEAS_W0_BEFORE"
"PROFILE.OS.FILE.MV_VOLUME", "dst", "M", "PROFILE_SAMEAS_W0_M_BEFORE"
"PROFILE.OS.FILE.MV_VOLUME", "dst", "M", "PROFILE_SAMEAS_W0_C_BEFORE"
"PROFILE.OS.FILE.MV_VOLUME", "dst", "A", "PROFILE_SAMEAS_W0_BEFORE"
"PROFILE.OS.FILE.MV_VOLUME", "dst", "A", "PROFILE_SAMEAS_W0_A_BEFORE"
"PROFILE.OS.FILE.MV_VOLUME", "dst", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.MV_VOLUME", "dst", "B", "PROFILE_SAMEAS_W0_M_BEFORE"
"PROFILE.OS.FILE.MV_VOLUME", "dst", "B", "PROFILE_SAMEAS_W0_C_BEFORE"
"PROFILE.OS.FILE.MV_VOLUME", "dstdir/", "M", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.MV_VOLUME", "dstdir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.MV_VOLUME", "dstdir/", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.MV_VOLUME", "dstdir/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.MV_VOLUME", "srcdir/", "M", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.DIR.MV_VOLUME", "srcdir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.MV_VOLUME", "srcdir/", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.DIR.MV_VOLUME", "srcdir/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.MV_VOLUME", "dst/", "M", "PROFILE_SAMEAS_W0_BEFORE"
"PROFILE.OS.DIR.MV_VOLUME", "dst/", "M", "PROFILE_SAMEAS_W0_M_BEFORE"
"PROFILE.OS.DIR.MV_VOLUME", "dst/", "M", "PROFILE_SAMEAS_W0_C_BEFORE"
"PROFILE.OS.DIR.MV_VOLUME", "dst/", "A", "PROFILE_SAMEAS_W0_BEFORE"
"PROFILE.OS.DIR.MV_VOLUME", "dst/", "A", "PROFILE_SAMEAS_W0_A_BEFORE"
"PROFILE.OS.DIR.MV_VOLUME", "dst/", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.DIR.MV_VOLUME", "dst/", "B", "PROFILE_SAMEAS_W0_M_BEFORE"
"PROFILE.OS.DIR.MV_VOLUME", "dst/", "B", "PROFILE_SAMEAS_W0_C_BEFORE"
"PROFILE.OS.DIR.MV_VOLUME", "dstdir/", "M", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.DIR.MV_VOLUME", "dstdir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.MV_VOLUME", "dstdir/", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.DIR.MV_VOLUME", "dstdir/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.NEW", "src", "M", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.NEW", "src", "A", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.NEW", "src", "C", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.NEW", "src", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.NEW", "srcdir/", "M", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.NEW", "srcdir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.NEW", "srcdir/", "C", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.NEW", "srcdir/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.NEW", "dst", "M", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.NEW", "dst", "A", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.NEW", "dst", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.NEW", "dst", "B", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.NEW", "dstdir/", "M", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.NEW", "dstdir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.NEW", "dstdir/", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.NEW", "dstdir/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.EXISTING", "src", "M", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.EXISTING", "src", "A", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.EXISTING", "src", "C", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.EXISTING", "src", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.EXISTING", "srcdir/", "M", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.EXISTING", "srcdir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.EXISTING", "srcdir/", "C", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.EXISTING", "srcdir/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.EXISTING", "dst", "M", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.EXISTING", "dst", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.EXISTING", "dst", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.EXISTING", "dst", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.EXISTING", "dstdir/", "M", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.EXISTING", "dstdir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.EXISTING", "dstdir/", "C", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_LOCAL.EXISTING", "dstdir/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.NEW", "src", "M", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.NEW", "src", "A", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.NEW", "src", "C", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.NEW", "src", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.NEW", "srcdir/", "M", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.NEW", "srcdir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.NEW", "srcdir/", "C", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.NEW", "srcdir/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.NEW", "dst", "M", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.NEW", "dst", "A", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.NEW", "dst", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.NEW", "dst", "B", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.NEW", "dstdir/", "M", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.NEW", "dstdir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.NEW", "dstdir/", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.NEW", "dstdir/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.EXISTING", "src", "M", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.EXISTING", "src", "A", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.EXISTING", "src", "C", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.EXISTING", "src", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.EXISTING", "srcdir/", "M", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.EXISTING", "srcdir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.EXISTING", "srcdir/", "C", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.EXISTING", "srcdir/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.EXISTING", "dst", "M", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.EXISTING", "dst", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.EXISTING", "dst", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.EXISTING", "dst", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.EXISTING", "dstdir/", "M", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.EXISTING", "dstdir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.EXISTING", "dstdir/", "C", "PROFILE_EQ_COMMAND"
"PROFILE.OS.FILE.COPY_VOLUME.EXISTING", "dstdir/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.COPY_LOCAL.NEW.NOTEMPTY", "src/", "M", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.COPY_LOCAL.NEW.NOTEMPTY", "src/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.COPY_LOCAL.NEW.NOTEMPTY", "src/", "C", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.COPY_LOCAL.NEW.NOTEMPTY", "src/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.COPY_LOCAL.NEW.NOTEMPTY", "srcdir/", "M", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.COPY_LOCAL.NEW.NOTEMPTY", "srcdir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.COPY_LOCAL.NEW.NOTEMPTY", "srcdir/", "C", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.COPY_LOCAL.NEW.NOTEMPTY", "srcdir/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.COPY_LOCAL.NEW.NOTEMPTY", "dst/", "M", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.DIR.COPY_LOCAL.NEW.NOTEMPTY", "dst/", "A", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.DIR.COPY_LOCAL.NEW.NOTEMPTY", "dst/", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.DIR.COPY_LOCAL.NEW.NOTEMPTY", "dst/", "B", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.DIR.COPY_LOCAL.NEW.NOTEMPTY", "dstdir/", "M", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.DIR.COPY_LOCAL.NEW.NOTEMPTY", "dstdir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.COPY_LOCAL.NEW.NOTEMPTY", "dstdir/", "C", "PROFILE_UPDATE_COMMAND"
"PROFILE.OS.DIR.COPY_LOCAL.NEW.NOTEMPTY", "dstdir/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.COPY_VOLUME.NEW.NOTEMPTY", "src/", "M", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.COPY_VOLUME.NEW.NOTEMPTY", "src/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.COPY_VOLUME.NEW.NOTEMPTY", "src/", "C", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.COPY_VOLUME.NEW.NOTEMPTY", "src/", "B", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.COPY_VOLUME.NEW.NOTEMPTY", "srcdir/", "M", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.COPY_VOLUME.NEW.NOTEMPTY", "srcdir/", "A", "PROFILE_EQ_COMMAND"
"PROFILE.OS.DIR.COPY_VOLUME.NEW.NOTEMPTY", "srcdir/", "C", "PROFILE_EQ_COMMAND"
